chains	inicc	n	burnin	space	n_components	component_0	assignment	Davies_Bouldin	Silhouette
3	17	400	5000	20	6	371	1817	3.62089643614365	NA
3	17	400	5000	20	8	80	1724	3.29174621044302	NA
3	17	400	5000	20	3	153	1872	3.93348886356601	0.036836122768419
3	17	400	7000	20	9	72	1734	3.33852886631254	0.0456683061089444
3	17	400	7000	20	5	335	1828	4.17303882962333	0.019513398364638
3	17	400	7000	20	8	76	1734	3.29293509526985	NA
3	17	400	7000	20	3	159	1866	3.93473113876108	0.0383996746855274
3	17	450	5000	20	9	76	1738	3.34555208685539	0.0451393588316448
3	17	450	5000	20	6	368	1810	3.62188573317459	NA
3	17	450	5000	20	8	80	1725	3.29498217552163	NA
3	17	450	5000	20	3	152	1869	3.92182028215192	0.0370139416936489
3	17	450	7000	20	9	71	1729	3.34161926784887	0.0456507154176353
3	17	450	7000	20	5	339	1818	4.16351123991998	0.0201442188108212
3	17	450	7000	20	8	76	1736	3.29100468949558	NA
3	17	450	7000	20	3	158	1863	3.92954139995224	0.0379959045899945
